,Model,sample_size,effect_type,mu_type,rmse,coverage,interval_length
0,BCF,250,homogeneous,linear,0.0333470973497891,1.0,0.549086148481672
1,BCF,250,homogeneous,linear,0.0961554722048801,1.0,0.706562037476342
2,BCF,250,homogeneous,linear,0.0083678802325062,1.0,0.515924153880024
3,BCF,250,homogeneous,linear,0.0330756971917934,1.0,0.713728511228487
4,BCF,250,homogeneous,linear,0.247221199942973,0.872,0.882356157467155
5,BCF,250,homogeneous,linear,0.0464711863705571,0.992,0.506017759716269
6,BCF,250,homogeneous,linear,0.0281949536885566,1.0,0.616178060044959
7,BCF,250,homogeneous,linear,0.112674140593481,0.972,0.730908525391257
8,BCF,250,homogeneous,linear,0.142685542459927,0.988,0.712311557470576
9,BCF,250,homogeneous,linear,0.0198867995596683,1.0,0.538950839561129
10,BCF,250,homogeneous,linear,0.11593495602422,0.98,0.69441412046354
11,BCF,250,homogeneous,linear,0.0415763800451372,0.976,0.590536612450533
12,BCF,250,homogeneous,linear,0.0214060848131652,1.0,0.774459404206941
13,BCF,250,homogeneous,linear,0.0147487139245004,1.0,0.504583756544199
14,BCF,250,homogeneous,linear,0.178782305133367,0.936,0.672570733725229
15,BCF,250,homogeneous,linear,0.08122846787326,0.992,0.745817283673707
16,BCF,250,homogeneous,linear,0.0239527795567533,1.0,0.77087316931012
17,BCF,250,homogeneous,linear,0.0404430860244727,0.98,0.53040425236344
18,BCF,250,homogeneous,linear,0.0296823500931027,1.0,0.601230834535486
19,BCF,250,homogeneous,linear,0.087038204875082,0.964,0.614250840860906
20,BCF,250,heterogeneous,linear,0.162492938140166,0.948,1.62096334325005
21,BCF,250,heterogeneous,linear,0.0621202071251434,0.94,1.36614135283227
22,BCF,250,heterogeneous,linear,0.0617940756020623,0.872,1.29728211451732
23,BCF,250,heterogeneous,linear,0.0039497337987897,0.98,1.05493965584067
24,BCF,250,heterogeneous,linear,0.110240775429673,0.888,1.76445451069741
25,BCF,250,heterogeneous,linear,0.0475733842316786,0.98,1.4676696027156
26,BCF,250,heterogeneous,linear,0.0260041570339815,0.912,1.1715724009996
27,BCF,250,heterogeneous,linear,0.13228476454142,0.94,1.34022195581457
28,BCF,250,heterogeneous,linear,0.175511632378491,0.944,1.47965442036827
29,BCF,250,heterogeneous,linear,0.0740991999429877,0.976,1.3821914020376
30,BCF,250,heterogeneous,linear,0.179908204376156,0.928,1.38311620721578
31,BCF,250,heterogeneous,linear,0.259451321798281,0.916,1.51961054743542
32,BCF,250,heterogeneous,linear,0.0289909836889723,0.944,1.32493138784454
33,BCF,250,heterogeneous,linear,0.0338806814912156,0.98,1.40537336339437
34,BCF,250,heterogeneous,linear,0.0235839956258479,0.932,1.67715442463954
35,BCF,250,heterogeneous,linear,0.0410024501537194,0.944,1.50986535977167
36,BCF,250,heterogeneous,linear,0.0188581015367173,0.964,1.22609623896115
37,BCF,250,heterogeneous,linear,0.0156530140743342,0.932,1.23618091161837
38,BCF,250,heterogeneous,linear,0.1008411325627,0.92,1.47912821386387
39,BCF,250,heterogeneous,linear,0.11023852025472,0.988,1.34833203241399
40,BCF,250,homogeneous,nonlinear,0.0960794513400929,0.98,0.722361274626763
41,BCF,250,homogeneous,nonlinear,0.007048052192391,1.0,0.748252571793213
42,BCF,250,homogeneous,nonlinear,0.2476033216997,0.956,1.13306602196326
43,BCF,250,homogeneous,nonlinear,0.04853419183832,1.0,0.881193683697963
44,BCF,250,homogeneous,nonlinear,0.0725025409565778,0.976,0.816799892985185
45,BCF,250,homogeneous,nonlinear,0.079603874371581,1.0,0.88238500458271
46,BCF,250,homogeneous,nonlinear,0.0128134719924984,1.0,0.70585629582019
47,BCF,250,homogeneous,nonlinear,0.0628221602296475,1.0,0.904793258697156
48,BCF,250,homogeneous,nonlinear,0.0129662863520266,1.0,0.603743255454786
49,BCF,250,homogeneous,nonlinear,0.0834104822181052,0.968,0.669085663396535
50,BCF,250,homogeneous,nonlinear,0.17928864545963,1.0,1.04278470940449
51,BCF,250,homogeneous,nonlinear,0.175973413688245,0.98,0.923238278716922
52,BCF,250,homogeneous,nonlinear,0.126728470683585,0.98,0.800065802185226
53,BCF,250,homogeneous,nonlinear,0.0258620059660526,0.98,0.696085800181279
54,BCF,250,homogeneous,nonlinear,0.226023464093836,0.98,0.941292700664225
55,BCF,250,homogeneous,nonlinear,0.0819393387572922,0.98,0.634005627156722
56,BCF,250,homogeneous,nonlinear,0.257743575235557,0.928,0.813125517442847
57,BCF,250,homogeneous,nonlinear,0.125120765404029,1.0,0.887327484941312
58,BCF,250,homogeneous,nonlinear,0.0549561159593526,1.0,0.755799439313272
59,BCF,250,homogeneous,nonlinear,0.0302131336079459,1.0,0.578568750895142
60,BCF,250,heterogeneous,nonlinear,0.0206474849382234,0.956,1.69838727119545
61,BCF,250,heterogeneous,nonlinear,0.0717331665661981,0.968,1.51442489859651
62,BCF,250,heterogeneous,nonlinear,0.0839358413263702,0.956,1.85696950376853
63,BCF,250,heterogeneous,nonlinear,0.217548179744024,0.92,1.73084597947994
64,BCF,250,heterogeneous,nonlinear,0.10483549677802,0.952,1.56457728249875
65,BCF,250,heterogeneous,nonlinear,0.0012872539505595,0.972,1.80711760782305
